,ellipse,diameter,location,confidence,timestamp
453,"{'center': (319.3972854614258, 206.2853240966797), 'axes': (84.27357482910156, 102.6217269897461), 'angle': 89.32165527343751}",102.6217269897461,"(319.3972854614258, 206.2853240966797)",1.0,7.55
454,"{'center': (319.4105758666992, 205.74951171875), 'axes': (83.66077423095703, 102.59146118164062), 'angle': 89.68772125244142}",102.59146118164062,"(319.4105758666992, 205.74951171875)",1.0,7.566666666666666
455,"{'center': (319.45284271240234, 205.25257110595703), 'axes': (82.90670013427734, 102.52006530761719), 'angle': 89.37371063232422}",102.52006530761719,"(319.45284271240234, 205.25257110595703)",1.0,7.583333333333333
456,"{'center': (319.3830032348633, 204.68658447265625), 'axes': (82.20582580566406, 102.36717987060547), 'angle': 89.48216247558594}",102.36717987060547,"(319.3830032348633, 204.68658447265625)",1.0,7.6
457,"{'center': (319.45887756347656, 204.15990447998047), 'axes': (81.34764862060547, 102.33414459228516), 'angle': 89.77750396728517}",102.33414459228516,"(319.45887756347656, 204.15990447998047)",1.0,7.616666666666666
458,"{'center': (319.45458984375, 203.66083526611328), 'axes': (80.60076904296875, 102.23332214355469), 'angle': 89.72431182861327}",102.23332214355469,"(319.45458984375, 203.66083526611328)",1.0,7.633333333333334
459,"{'center': (319.4298629760742, 203.14276885986328), 'axes': (79.96458435058594, 102.04475402832031), 'angle': 89.50028991699217}",102.04475402832031,"(319.4298629760742, 203.14276885986328)",1.0,7.65
460,"{'center': (319.39434814453125, 202.5664825439453), 'axes': (79.08322143554688, 102.0174789428711), 'angle': 89.65962982177733}",102.0174789428711,"(319.39434814453125, 202.5664825439453)",1.0,7.666666666666667
461,"{'center': (319.4172821044922, 202.07896423339844), 'axes': (78.25851440429688, 101.86197662353516), 'angle': 89.72666931152342}",101.86197662353516,"(319.4172821044922, 202.07896423339844)",1.0,7.683333333333334
462,"{'center': (319.40228271484375, 201.58094024658203), 'axes': (77.51295471191406, 101.66012573242188), 'angle': 89.72704315185547}",101.66012573242188,"(319.40228271484375, 201.58094024658203)",1.0,7.7
463,"{'center': (319.4259262084961, 201.09185791015625), 'axes': (76.60318756103516, 101.68635559082031), 'angle': 89.70936584472655}",101.68635559082031,"(319.4259262084961, 201.09185791015625)",1.0,7.716666666666667
464,"{'center': (319.4301300048828, 200.58647918701172), 'axes': (75.86253356933594, 101.5971450805664), 'angle': 89.7578582763672}",101.5971450805664,"(319.4301300048828, 200.58647918701172)",1.0,7.733333333333333
465,"{'center': (319.45601654052734, 200.07737731933594), 'axes': (74.9703598022461, 101.46650695800781), 'angle': 89.80978393554688}",101.46650695800781,"(319.45601654052734, 200.07737731933594)",1.0,7.75
466,"{'center': (319.46988677978516, 199.6084442138672), 'axes': (74.06978607177734, 101.2131118774414), 'angle': 89.88625335693361}",101.2131118774414,"(319.46988677978516, 199.6084442138672)",1.0,7.766666666666667
467,"{'center': (319.42198181152344, 199.13217163085938), 'axes': (73.32583618164062, 101.09230041503906), 'angle': 89.47116088867188}",101.09230041503906,"(319.42198181152344, 199.13217163085938)",1.0,7.783333333333333
468,"{'center': (319.4601364135742, 198.65016174316406), 'axes': (72.6651840209961, 101.06262969970703), 'angle': 89.599609375}",101.06262969970703,"(319.4601364135742, 198.65016174316406)",1.0,7.8
469,"{'center': (319.4523696899414, 198.12630462646484), 'axes': (71.85205841064453, 100.99961853027344), 'angle': 89.91119384765625}",100.99961853027344,"(319.4523696899414, 198.12630462646484)",1.0,7.816666666666666
470,"{'center': (319.4408645629883, 197.64686584472656), 'axes': (70.96405029296875, 100.8495864868164), 'angle': 89.80113220214844}",100.8495864868164,"(319.4408645629883, 197.64686584472656)",1.0,7.833333333333333
471,"{'center': (319.47227478027344, 197.1415023803711), 'axes': (69.9902114868164, 100.60643768310547), 'angle': 89.72754669189455}",100.60643768310547,"(319.47227478027344, 197.1415023803711)",1.0,7.85
472,"{'center': (319.44244384765625, 196.73756408691406), 'axes': (69.08753967285156, 100.7293701171875), 'angle': 89.87347412109376}",100.7293701171875,"(319.44244384765625, 196.73756408691406)",1.0,7.866666666666666
473,"{'center': (319.4709014892578, 196.29518127441406), 'axes': (68.27922058105469, 100.52291107177734), 'angle': 89.64497375488283}",100.52291107177734,"(319.4709014892578, 196.29518127441406)",1.0,7.883333333333334
474,"{'center': (319.4610366821289, 195.83927154541016), 'axes': (67.50128173828125, 100.4223861694336), 'angle': 89.66058349609375}",100.4223861694336,"(319.4610366821289, 195.83927154541016)",1.0,7.9
475,"{'center': (319.4549331665039, 195.34062957763672), 'axes': (66.55224609375, 100.35514068603516), 'angle': 89.79251098632814}",100.35514068603516,"(319.4549331665039, 195.34062957763672)",1.0,7.916666666666667
476,"{'center': (319.48345947265625, 194.92491912841797), 'axes': (65.77765655517578, 100.18376922607422), 'angle': 89.85391235351562}",100.18376922607422,"(319.48345947265625, 194.92491912841797)",1.0,7.933333333333334
477,"{'center': (319.4384307861328, 194.49933624267578), 'axes': (64.87075805664062, 100.0704345703125), 'angle': 89.74117279052736}",100.0704345703125,"(319.4384307861328, 194.49933624267578)",1.0,7.95
478,"{'center': (319.44114685058594, 194.03588104248047), 'axes': (63.90676498413086, 99.88243865966797), 'angle': 89.76477813720705}",99.88243865966797,"(319.44114685058594, 194.03588104248047)",1.0,7.966666666666667
479,"{'center': (319.4418411254883, 193.58657836914062), 'axes': (62.94757080078125, 99.72032928466797), 'angle': 89.73712158203125}",99.72032928466797,"(319.4418411254883, 193.58657836914062)",1.0,7.983333333333333
480,"{'center': (319.4408493041992, 193.17107391357422), 'axes': (62.07199478149414, 99.62694549560547), 'angle': 89.68770599365233}",99.62694549560547,"(319.4408493041992, 193.17107391357422)",1.0,8.0
481,"{'center': (319.4722595214844, 192.6917953491211), 'axes': (61.15064239501953, 99.44937133789062), 'angle': 89.79109191894533}",99.44937133789062,"(319.4722595214844, 192.6917953491211)",1.0,8.016666666666667
482,"{'center': (319.4331588745117, 192.2465362548828), 'axes': (60.25673294067383, 99.2582778930664), 'angle': 89.8705368041992}",99.2582778930664,"(319.4331588745117, 192.2465362548828)",1.0,8.033333333333333
483,"{'center': (319.4315643310547, 191.8558578491211), 'axes': (59.366783142089844, 99.30583190917969), 'angle': 89.80880737304688}",99.30583190917969,"(319.4315643310547, 191.8558578491211)",1.0,8.05
484,"{'center': (319.39920806884766, 191.45476531982422), 'axes': (58.39231491088867, 99.0430908203125), 'angle': 89.73632049560547}",99.0430908203125,"(319.39920806884766, 191.45476531982422)",1.0,8.066666666666666
485,"{'center': (319.4866714477539, 191.06987762451172), 'axes': (57.582122802734375, 98.84081268310547), 'angle': 89.87063598632812}",98.84081268310547,"(319.4866714477539, 191.06987762451172)",1.0,8.083333333333334
486,"{'center': (319.41712951660156, 190.72805786132812), 'axes': (56.42662811279297, 98.77884674072266), 'angle': 89.67411041259766}",98.77884674072266,"(319.41712951660156, 190.72805786132812)",1.0,8.1
